Mark,Models
CHEVROLET,"['ALERO', 'ASTRA', 'ASTRO', 'AVALANCHE', 'AVEO', 'BEL_AIR', 'BERETTA', 'BLAZER', 'K5_BLAZER', 'BOLT', 'C_10', 'CK', 'CAMARO', 'CAPRICE', 'CAPTIVA', 'CAVALIER', 'CELEBRITY', 'CELTA', 'CHEVELLE', 'CHEVETTE', 'CITATION', 'COBALT', 'COLORADO', 'CORSA', 'CORSICA', 'CORVAIR', 'CORVETTE', 'CRUZE', 'CRUZE_HR', 'CSV_CR8', 'DELUXE', 'EL_CAMINO', 'EPICA', 'EQUINOX', 'EVANDA', 'EXPRESS', 'FLEETMASTER', 'HHR', 'IMPALA', 'KALOS', 'LACETTI', 'LANOS', 'LUMINA', 'LUMINA_APV', 'LUV_DMAX', 'MALIBU', 'MASTER', 'CMATIZ', 'METRO', 'MONTE_CARLO', 'MONZA', 'MW', 'NIVA', 'NOVA', 'NUBIRA', 'OMEGA', 'ORLANDO', 'PRIZM', 'REZZO', 'S_10', 'SAIL', 'SILVERADO', 'SONIC', 'SPARK', 'SPECIAL_DELUXE', 'SPIN', 'SS', 'SSR', 'STARCRAFT', 'SUBURBAN', 'TACUMA', 'TAHOE', 'TAVERA', 'TRACKER', 'TRAILBLAZER', 'TRANSSPORT', 'TRAVERSE', 'UPLANDER', 'VAN', 'VECTRA', 'VENTURE', 'VIVA', 'VOLT', 'ZAFIRA']"
CHRYSLER,"['180', '200', '300', '300_LETTER_SERIES', '300C', '300M', 'ASPEN', 'CIRRUS', 'CONCORDE', 'CORDOBA', 'CROSSFIRE', 'DAYTONA', 'DYNASTY', 'ES', 'FIFTH_AVENUE', 'IMPERIAL', 'IMPERIAL_CROWN', 'INTREPID', 'LE_BARON', 'LHS', 'NASSAU', 'NEON', 'NEW_YORKER', 'NEWPORT', 'PACIFICA', 'PROWLER', 'PT_CRUISER', 'SARATOGA', 'SEBRING', 'STRATUS', 'TC_BY_MASERATI', 'TOWN_AND_COUNTRY', 'VIPER', 'VISION', 'VOYAGER', 'WINDSOR']"
CITROEN,"['2CV', 'AMI', 'AX', 'BERLINGO', 'BX', 'C_CROSSER', 'C_ELYSEE', 'C_QUATRE', 'C_TRIOMPHE', 'C_ZERO', 'C1', 'C2', 'C3', 'C3_AIRCROSS', 'C3_PICASSO', 'C4', 'C4_AIRCROSS', 'C4_CACTUS', 'C4_PICASSO', 'C4_SPACETOURER', 'C5', 'C5_AIRCROSS', 'C6', 'C8', 'CX', 'DS', 'DS3', 'DS4', 'DS5', 'DYANE', 'E_MEHARI', 'EVASION', 'GS', 'JUMPY', 'LN', 'NEMO', 'SAXO', 'SM', 'SPACETOURER', 'TRACTION_AVANT', 'VISA', 'XANTIA', 'XM', 'XSARA', 'XSARA_PICASSO', 'ZX']"
CIZETA,['V16T']
COGGIOLA,['T_REX']
CORD,['L_29']
DACIA,"['1300', '1310', '1325', '1410', 'DOKKER', 'DUSTER', 'LODGY', 'LOGAN', 'NOVA', 'PICK_UP', 'SANDERO', 'SOLENZA', 'SUPERNOVA']"
DADI,"['CITY_LEADING', 'SHUTTLE', 'SMOOTHING']"
DAEWOO,"['ALPHEON', 'ARCADIA', 'CHAIRMAN', 'DAMAS', 'ESPERO', 'EVANDA', 'G2X', 'GENTRA', 'KALOS', 'KORANDO', 'LACETTI', 'LACETTI_PREMIERE', 'LANOS', 'LEGANZA', 'LE_MANS', 'MAGNUS', 'MATIZ', 'MATIZ_CREATIVE', 'MUSSO', 'NEXIA', 'NUBIRA', 'PRINCE', 'RACER', 'REZZO', 'ROYALE', 'SENS', 'TACUMA', 'TICO', 'TOSCA', 'WINDSTORM']"
DAIHATSU,"['ALTIS', 'APPLAUSE', 'ATRAI', 'BE_GO', 'BEE', 'BOON', 'BOON_LUMINAS', 'CAST', 'CERIA', 'CHARADE', 'CHARMANT', 'COO', 'COPEN', 'CUORE', 'DELTA_WAGON', 'ESSE', 'FELLOW', 'FEROZA', 'GRAN_MOVE', 'HIJET', 'LEEZA', 'MATERIA', 'MAX', 'MEBIUS', 'MIDGET_II', 'MIRA', 'MIRA_E_S', 'MIRA_GINO', 'MOVE', 'MOVE_CANBUS', 'MOVE_CONTE', 'MOVE_LATTE', 'NAKED', 'OPTI', 'PYZAR', 'ROCKY', 'RUGGER', 'SIRION', 'SONICA', 'STORIA', 'TAFT', 'TANTO', 'TANTO_EXE', 'TERIOS', 'THOR', 'TREVIS', 'WAKE', 'WILDCAT', 'XENIA', 'YRV']"
DAIMLER,"['DS_420', 'SOVEREIGN', 'SP250', 'X_300', 'X_308', 'X_350', 'XJ40', 'XJS']"
DALLARA,['STRADALE']
DATSUN,"['240Z', '280ZX', '720', 'BLUEBIRD', 'CHERRY', 'GO', 'GO_PLUS', 'LAUREL', 'MI_DO', 'ON_DO', 'STANZA', 'SUNNY', 'URVAN', 'VIOLET']"
DE_TOMASO,"['BIGUA', 'GUARA', 'LONGCHAMP', 'MANGUSTA', 'PANTERA', 'VALLELUNGA']"
DELAGE,['D6']
DELOREAN,['DMC_12']
DERWAYS,"['ANTELOPE', 'AURORA', 'COWBOY', 'LAND_CROWN', 'PLUTUS', 'SALADIN', 'SHUTTLE']"
DESOTO,"['CUSTOM', 'FIREDOME', 'FIREFLITE']"
DKW,['3_6']
DODGE,"['600', 'ARIES', 'AVENGER', 'CALIBER', 'CARAVAN', 'CHALLENGER', 'CHARGER', 'CHARGER_DAYTONA', 'COLT', 'CUSTOM_ROYAL', 'DW_SERIES', 'D8', 'DAKOTA', 'DART', 'DAYTONA', 'DIPLOMAT', 'DURANGO', 'DYNASTY', 'INTREPID', 'JOURNEY', 'LANCER', 'MAGNUM', 'MAYFAIR', 'MONACO', 'NEON', 'NITRO', 'OMNI', 'RAIDER', 'RAM', 'RAMCHARGER', 'SHADOW', 'SPIRIT', 'STEALTH', 'STRATUS', 'VIPER', 'WC']"
DONGFENG,"['370', '580', 'A30', 'A9', 'AX7', 'H30_CROSS', 'MPV', 'OTING', 'RICH', 'S30']"
DONINVEST,"['ASSOL', 'KONDOR', 'ORION']"
DONKERVOORT,"['D8', 'D8_COSWORTH', 'D8_GT', 'D8_GTO', 'D8_ZETEC']"
DS,"['3', '3_CROSSBACK', '4', '5', '7_CROSSBACK']"
DW_HOWER,"['H3', 'H5']"
E_CAR,['GD04B']
EAGLE,"['PREMIER', 'SUMMIT', 'TALON', 'VISION', 'VISTA']"
EAGLE_CARS,['SS']
EXCALIBUR,"['SERIES_IV', 'SERIES_V']"
FAW,"['BESTURN_B50', 'BESTURN_B70', 'BESTURN_X40', 'X80', 'JINN', 'OLEY', 'V2', 'V5', 'VITA']"
